Date,Year,Month No,Month,Quarter,Day,Day Name,Is Weekend
2024-02-29,2024,2,February,1,29,Thursday,False
2024-03-01,2024,3,March,1,1,Friday,False
2024-03-02,2024,3,March,1,2,Saturday,True
2024-03-03,2024,3,March,1,3,Sunday,True
2024-03-04,2024,3,March,1,4,Monday,False
2024-03-05,2024,3,March,1,5,Tuesday,False
2024-03-06,2024,3,March,1,6,Wednesday,False
2024-03-07,2024,3,March,1,7,Thursday,False
2024-03-08,2024,3,March,1,8,Friday,False
2024-03-09,2024,3,March,1,9,Saturday,True
2024-03-10,2024,3,March,1,10,Sunday,True
2024-03-11,2024,3,March,1,11,Monday,False
2024-03-12,2024,3,March,1,12,Tuesday,False
2024-03-13,2024,3,March,1,13,Wednesday,False
2024-03-14,2024,3,March,1,14,Thursday,False
2024-03-15,2024,3,March,1,15,Friday,False
2024-03-16,2024,3,March,1,16,Saturday,True
2024-03-17,2024,3,March,1,17,Sunday,True
2024-03-18,2024,3,March,1,18,Monday,False
2024-03-19,2024,3,March,1,19,Tuesday,False
2024-03-20,2024,3,March,1,20,Wednesday,False
2024-03-21,2024,3,March,1,21,Thursday,False
2024-03-22,2024,3,March,1,22,Friday,False
2024-03-23,2024,3,March,1,23,Saturday,True
2024-03-24,2024,3,March,1,24,Sunday,True
2024-03-25,2024,3,March,1,25,Monday,False
2024-03-26,2024,3,March,1,26,Tuesday,False
2024-03-27,2024,3,March,1,27,Wednesday,False
2024-03-28,2024,3,March,1,28,Thursday,False
2024-03-29,2024,3,March,1,29,Friday,False
2024-03-30,2024,3,March,1,30,Saturday,True
2024-03-31,2024,3,March,1,31,Sunday,True
2024-04-01,2024,4,April,2,1,Monday,False
2024-04-02,2024,4,April,2,2,Tuesday,False
2024-04-03,2024,4,April,2,3,Wednesday,False
2024-04-04,2024,4,April,2,4,Thursday,False
2024-04-05,2024,4,April,2,5,Friday,False
2024-04-06,2024,4,April,2,6,Saturday,True
2024-04-07,2024,4,April,2,7,Sunday,True
2024-04-08,2024,4,April,2,8,Monday,False
2024-04-09,2024,4,April,2,9,Tuesday,False
2024-04-10,2024,4,April,2,10,Wednesday,False
2024-04-11,2024,4,April,2,11,Thursday,False
2024-04-12,2024,4,April,2,12,Friday,False
2024-04-13,2024,4,April,2,13,Saturday,True
2024-04-14,2024,4,April,2,14,Sunday,True
2024-04-15,2024,4,April,2,15,Monday,False
2024-04-16,2024,4,April,2,16,Tuesday,False
2024-04-17,2024,4,April,2,17,Wednesday,False
2024-04-18,2024,4,April,2,18,Thursday,False
2024-04-19,2024,4,April,2,19,Friday,False
2024-04-20,2024,4,April,2,20,Saturday,True
2024-04-21,2024,4,April,2,21,Sunday,True
2024-04-22,2024,4,April,2,22,Monday,False
2024-04-23,2024,4,April,2,23,Tuesday,False
2024-04-24,2024,4,April,2,24,Wednesday,False
2024-04-25,2024,4,April,2,25,Thursday,False
2024-04-26,2024,4,April,2,26,Friday,False
2024-04-27,2024,4,April,2,27,Saturday,True
2024-04-28,2024,4,April,2,28,Sunday,True
2024-04-29,2024,4,April,2,29,Monday,False
2024-04-30,2024,4,April,2,30,Tuesday,False
2024-05-01,2024,5,May,2,1,Wednesday,False
2024-05-02,2024,5,May,2,2,Thursday,False
2024-05-03,2024,5,May,2,3,Friday,False
2024-05-04,2024,5,May,2,4,Saturday,True
2024-05-05,2024,5,May,2,5,Sunday,True
2024-05-06,2024,5,May,2,6,Monday,False
2024-05-07,2024,5,May,2,7,Tuesday,False
2024-05-08,2024,5,May,2,8,Wednesday,False
2024-05-09,2024,5,May,2,9,Thursday,False
2024-05-10,2024,5,May,2,10,Friday,False
2024-05-11,2024,5,May,2,11,Saturday,True
2024-05-12,2024,5,May,2,12,Sunday,True
2024-05-13,2024,5,May,2,13,Monday,False
2024-05-14,2024,5,May,2,14,Tuesday,False
2024-05-15,2024,5,May,2,15,Wednesday,False
2024-05-16,2024,5,May,2,16,Thursday,False
2024-05-17,2024,5,May,2,17,Friday,False
2024-05-18,2024,5,May,2,18,Saturday,True
2024-05-19,2024,5,May,2,19,Sunday,True
2024-05-20,2024,5,May,2,20,Monday,False
2024-05-21,2024,5,May,2,21,Tuesday,False
2024-05-22,2024,5,May,2,22,Wednesday,False
2024-05-23,2024,5,May,2,23,Thursday,False
2024-05-24,2024,5,May,2,24,Friday,False
2024-05-25,2024,5,May,2,25,Saturday,True
2024-05-26,2024,5,May,2,26,Sunday,True
2024-05-27,2024,5,May,2,27,Monday,False
2024-05-28,2024,5,May,2,28,Tuesday,False
2024-05-29,2024,5,May,2,29,Wednesday,False
2024-05-30,2024,5,May,2,30,Thursday,False
2024-05-31,2024,5,May,2,31,Friday,False
2024-06-01,2024,6,June,2,1,Saturday,True
2024-06-02,2024,6,June,2,2,Sunday,True
2024-06-03,2024,6,June,2,3,Monday,False
2024-06-04,2024,6,June,2,4,Tuesday,False
2024-06-05,2024,6,June,2,5,Wednesday,False
2024-06-06,2024,6,June,2,6,Thursday,False
2024-06-07,2024,6,June,2,7,Friday,False
2024-06-08,2024,6,June,2,8,Saturday,True
2024-06-09,2024,6,June,2,9,Sunday,True
2024-06-10,2024,6,June,2,10,Monday,False
2024-06-11,2024,6,June,2,11,Tuesday,False
2024-06-12,2024,6,June,2,12,Wednesday,False
2024-06-13,2024,6,June,2,13,Thursday,False
2024-06-14,2024,6,June,2,14,Friday,False
2024-06-15,2024,6,June,2,15,Saturday,True
2024-06-16,2024,6,June,2,16,Sunday,True
2024-06-17,2024,6,June,2,17,Monday,False
2024-06-18,2024,6,June,2,18,Tuesday,False
2024-06-19,2024,6,June,2,19,Wednesday,False
2024-06-20,2024,6,June,2,20,Thursday,False
2024-06-21,2024,6,June,2,21,Friday,False
2024-06-22,2024,6,June,2,22,Saturday,True
2024-06-23,2024,6,June,2,23,Sunday,True
2024-06-24,2024,6,June,2,24,Monday,False
2024-06-25,2024,6,June,2,25,Tuesday,False
2024-06-26,2024,6,June,2,26,Wednesday,False
2024-06-27,2024,6,June,2,27,Thursday,False
2024-06-28,2024,6,June,2,28,Friday,False
2024-06-29,2024,6,June,2,29,Saturday,True
2024-06-30,2024,6,June,2,30,Sunday,True
2024-07-01,2024,7,July,3,1,Monday,False
2024-07-02,2024,7,July,3,2,Tuesday,False
2024-07-03,2024,7,July,3,3,Wednesday,False
2024-07-04,2024,7,July,3,4,Thursday,False
2024-07-05,2024,7,July,3,5,Friday,False
2024-07-06,2024,7,July,3,6,Saturday,True
2024-07-07,2024,7,July,3,7,Sunday,True
2024-07-08,2024,7,July,3,8,Monday,False
2024-07-09,2024,7,July,3,9,Tuesday,False
2024-07-10,2024,7,July,3,10,Wednesday,False
2024-07-11,2024,7,July,3,11,Thursday,False
2024-07-12,2024,7,July,3,12,Friday,False
2024-07-13,2024,7,July,3,13,Saturday,True
2024-07-14,2024,7,July,3,14,Sunday,True
2024-07-15,2024,7,July,3,15,Monday,False
2024-07-16,2024,7,July,3,16,Tuesday,False
2024-07-17,2024,7,July,3,17,Wednesday,False
2024-07-18,2024,7,July,3,18,Thursday,False
2024-07-19,2024,7,July,3,19,Friday,False
2024-07-20,2024,7,July,3,20,Saturday,True
2024-07-21,2024,7,July,3,21,Sunday,True
2024-07-22,2024,7,July,3,22,Monday,False
2024-07-23,2024,7,July,3,23,Tuesday,False
2024-07-24,2024,7,July,3,24,Wednesday,False
2024-07-25,2024,7,July,3,25,Thursday,False
2024-07-26,2024,7,July,3,26,Friday,False
2024-07-27,2024,7,July,3,27,Saturday,True
2024-07-28,2024,7,July,3,28,Sunday,True
2024-07-29,2024,7,July,3,29,Monday,False
2024-07-30,2024,7,July,3,30,Tuesday,False
2024-07-31,2024,7,July,3,31,Wednesday,False
2024-08-01,2024,8,August,3,1,Thursday,False
2024-08-02,2024,8,August,3,2,Friday,False
2024-08-03,2024,8,August,3,3,Saturday,True
2024-08-04,2024,8,August,3,4,Sunday,True
2024-08-05,2024,8,August,3,5,Monday,False
2024-08-06,2024,8,August,3,6,Tuesday,False
2024-08-07,2024,8,August,3,7,Wednesday,False
2024-08-08,2024,8,August,3,8,Thursday,False
2024-08-09,2024,8,August,3,9,Friday,False
2024-08-10,2024,8,August,3,10,Saturday,True
2024-08-11,2024,8,August,3,11,Sunday,True
2024-08-12,2024,8,August,3,12,Monday,False
2024-08-13,2024,8,August,3,13,Tuesday,False
2024-08-14,2024,8,August,3,14,Wednesday,False
2024-08-15,2024,8,August,3,15,Thursday,False
2024-08-16,2024,8,August,3,16,Friday,False
2024-08-17,2024,8,August,3,17,Saturday,True
2024-08-18,2024,8,August,3,18,Sunday,True
2024-08-19,2024,8,August,3,19,Monday,False
2024-08-20,2024,8,August,3,20,Tuesday,False
2024-08-21,2024,8,August,3,21,Wednesday,False
2024-08-22,2024,8,August,3,22,Thursday,False
2024-08-23,2024,8,August,3,23,Friday,False
2024-08-24,2024,8,August,3,24,Saturday,True
2024-08-25,2024,8,August,3,25,Sunday,True
2024-08-26,2024,8,August,3,26,Monday,False
2024-08-27,2024,8,August,3,27,Tuesday,False
2024-08-28,2024,8,August,3,28,Wednesday,False
2024-08-29,2024,8,August,3,29,Thursday,False
2024-08-30,2024,8,August,3,30,Friday,False
2024-08-31,2024,8,August,3,31,Saturday,True
2024-09-01,2024,9,September,3,1,Sunday,True
2024-09-02,2024,9,September,3,2,Monday,False
2024-09-03,2024,9,September,3,3,Tuesday,False
2024-09-04,2024,9,September,3,4,Wednesday,False
2024-09-05,2024,9,September,3,5,Thursday,False
2024-09-06,2024,9,September,3,6,Friday,False
2024-09-07,2024,9,September,3,7,Saturday,True
2024-09-08,2024,9,September,3,8,Sunday,True
2024-09-09,2024,9,September,3,9,Monday,False
2024-09-10,2024,9,September,3,10,Tuesday,False
2024-09-11,2024,9,September,3,11,Wednesday,False
2024-09-12,2024,9,September,3,12,Thursday,False
2024-09-13,2024,9,September,3,13,Friday,False
2024-09-14,2024,9,September,3,14,Saturday,True
2024-09-15,2024,9,September,3,15,Sunday,True
2024-09-16,2024,9,September,3,16,Monday,False
2024-09-17,2024,9,September,3,17,Tuesday,False
2024-09-18,2024,9,September,3,18,Wednesday,False
2024-09-19,2024,9,September,3,19,Thursday,False
2024-09-20,2024,9,September,3,20,Friday,False
2024-09-21,2024,9,September,3,21,Saturday,True
2024-09-22,2024,9,September,3,22,Sunday,True
2024-09-23,2024,9,September,3,23,Monday,False
2024-09-24,2024,9,September,3,24,Tuesday,False
2024-09-25,2024,9,September,3,25,Wednesday,False
2024-09-26,2024,9,September,3,26,Thursday,False
2024-09-27,2024,9,September,3,27,Friday,False
2024-09-28,2024,9,September,3,28,Saturday,True
2024-09-29,2024,9,September,3,29,Sunday,True
2024-09-30,2024,9,September,3,30,Monday,False
2024-10-01,2024,10,October,4,1,Tuesday,False
2024-10-02,2024,10,October,4,2,Wednesday,False
2024-10-03,2024,10,October,4,3,Thursday,False
2024-10-04,2024,10,October,4,4,Friday,False
2024-10-05,2024,10,October,4,5,Saturday,True
2024-10-06,2024,10,October,4,6,Sunday,True
2024-10-07,2024,10,October,4,7,Monday,False
2024-10-08,2024,10,October,4,8,Tuesday,False
2024-10-09,2024,10,October,4,9,Wednesday,False
2024-10-10,2024,10,October,4,10,Thursday,False
2024-10-11,2024,10,October,4,11,Friday,False
2024-10-12,2024,10,October,4,12,Saturday,True
2024-10-13,2024,10,October,4,13,Sunday,True
2024-10-14,2024,10,October,4,14,Monday,False
2024-10-15,2024,10,October,4,15,Tuesday,False
2024-10-16,2024,10,October,4,16,Wednesday,False
2024-10-17,2024,10,October,4,17,Thursday,False
2024-10-18,2024,10,October,4,18,Friday,False
2024-10-19,2024,10,October,4,19,Saturday,True
2024-10-20,2024,10,October,4,20,Sunday,True
2024-10-21,2024,10,October,4,21,Monday,False
2024-10-22,2024,10,October,4,22,Tuesday,False
2024-10-23,2024,10,October,4,23,Wednesday,False
2024-10-24,2024,10,October,4,24,Thursday,False
2024-10-25,2024,10,October,4,25,Friday,False
2024-10-26,2024,10,October,4,26,Saturday,True
2024-10-27,2024,10,October,4,27,Sunday,True
2024-10-28,2024,10,October,4,28,Monday,False
2024-10-29,2024,10,October,4,29,Tuesday,False
2024-10-30,2024,10,October,4,30,Wednesday,False
2024-10-31,2024,10,October,4,31,Thursday,False
2024-11-01,2024,11,November,4,1,Friday,False
2024-11-02,2024,11,November,4,2,Saturday,True
2024-11-03,2024,11,November,4,3,Sunday,True
2024-11-04,2024,11,November,4,4,Monday,False
2024-11-05,2024,11,November,4,5,Tuesday,False
2024-11-06,2024,11,November,4,6,Wednesday,False
2024-11-07,2024,11,November,4,7,Thursday,False
2024-11-08,2024,11,November,4,8,Friday,False
2024-11-09,2024,11,November,4,9,Saturday,True
2024-11-10,2024,11,November,4,10,Sunday,True
2024-11-11,2024,11,November,4,11,Monday,False
2024-11-12,2024,11,November,4,12,Tuesday,False
2024-11-13,2024,11,November,4,13,Wednesday,False
2024-11-14,2024,11,November,4,14,Thursday,False
2024-11-15,2024,11,November,4,15,Friday,False
2024-11-16,2024,11,November,4,16,Saturday,True
2024-11-17,2024,11,November,4,17,Sunday,True
2024-11-18,2024,11,November,4,18,Monday,False
2024-11-19,2024,11,November,4,19,Tuesday,False
2024-11-20,2024,11,November,4,20,Wednesday,False
2024-11-21,2024,11,November,4,21,Thursday,False
2024-11-22,2024,11,November,4,22,Friday,False
2024-11-23,2024,11,November,4,23,Saturday,True
2024-11-24,2024,11,November,4,24,Sunday,True
2024-11-25,2024,11,November,4,25,Monday,False
2024-11-26,2024,11,November,4,26,Tuesday,False
2024-11-27,2024,11,November,4,27,Wednesday,False
2024-11-28,2024,11,November,4,28,Thursday,False
2024-11-29,2024,11,November,4,29,Friday,False
2024-11-30,2024,11,November,4,30,Saturday,True
2024-12-01,2024,12,December,4,1,Sunday,True
2024-12-02,2024,12,December,4,2,Monday,False
2024-12-03,2024,12,December,4,3,Tuesday,False
2024-12-04,2024,12,December,4,4,Wednesday,False
2024-12-05,2024,12,December,4,5,Thursday,False
2024-12-06,2024,12,December,4,6,Friday,False
2024-12-07,2024,12,December,4,7,Saturday,True
2024-12-08,2024,12,December,4,8,Sunday,True
2024-12-09,2024,12,December,4,9,Monday,False
2024-12-10,2024,12,December,4,10,Tuesday,False
2024-12-11,2024,12,December,4,11,Wednesday,False
2024-12-12,2024,12,December,4,12,Thursday,False
2024-12-13,2024,12,December,4,13,Friday,False
2024-12-14,2024,12,December,4,14,Saturday,True
2024-12-15,2024,12,December,4,15,Sunday,True
2024-12-16,2024,12,December,4,16,Monday,False
2024-12-17,2024,12,December,4,17,Tuesday,False
2024-12-18,2024,12,December,4,18,Wednesday,False
2024-12-19,2024,12,December,4,19,Thursday,False
2024-12-20,2024,12,December,4,20,Friday,False
2024-12-21,2024,12,December,4,21,Saturday,True
2024-12-22,2024,12,December,4,22,Sunday,True
2024-12-23,2024,12,December,4,23,Monday,False
2024-12-24,2024,12,December,4,24,Tuesday,False
2024-12-25,2024,12,December,4,25,Wednesday,False
2024-12-26,2024,12,December,4,26,Thursday,False
2024-12-27,2024,12,December,4,27,Friday,False
2024-12-28,2024,12,December,4,28,Saturday,True
2024-12-29,2024,12,December,4,29,Sunday,True
2024-12-30,2024,12,December,4,30,Monday,False
2024-12-31,2024,12,December,4,31,Tuesday,False
2025-01-01,2025,1,January,1,1,Wednesday,False
2025-01-02,2025,1,January,1,2,Thursday,False
2025-01-03,2025,1,January,1,3,Friday,False
2025-01-04,2025,1,January,1,4,Saturday,True
2025-01-05,2025,1,January,1,5,Sunday,True
2025-01-06,2025,1,January,1,6,Monday,False
2025-01-07,2025,1,January,1,7,Tuesday,False
2025-01-08,2025,1,January,1,8,Wednesday,False
2025-01-09,2025,1,January,1,9,Thursday,False
2025-01-10,2025,1,January,1,10,Friday,False
2025-01-11,2025,1,January,1,11,Saturday,True
2025-01-12,2025,1,January,1,12,Sunday,True
2025-01-13,2025,1,January,1,13,Monday,False
2025-01-14,2025,1,January,1,14,Tuesday,False
2025-01-15,2025,1,January,1,15,Wednesday,False
2025-01-16,2025,1,January,1,16,Thursday,False
2025-01-17,2025,1,January,1,17,Friday,False
2025-01-18,2025,1,January,1,18,Saturday,True
2025-01-19,2025,1,January,1,19,Sunday,True
2025-01-20,2025,1,January,1,20,Monday,False
2025-01-21,2025,1,January,1,21,Tuesday,False
2025-01-22,2025,1,January,1,22,Wednesday,False
2025-01-23,2025,1,January,1,23,Thursday,False
2025-01-24,2025,1,January,1,24,Friday,False
2025-01-25,2025,1,January,1,25,Saturday,True
2025-01-26,2025,1,January,1,26,Sunday,True
2025-01-27,2025,1,January,1,27,Monday,False
2025-01-28,2025,1,January,1,28,Tuesday,False
2025-01-29,2025,1,January,1,29,Wednesday,False
2025-01-30,2025,1,January,1,30,Thursday,False
2025-01-31,2025,1,January,1,31,Friday,False
2025-02-01,2025,2,February,1,1,Saturday,True
2025-02-02,2025,2,February,1,2,Sunday,True
2025-02-03,2025,2,February,1,3,Monday,False
2025-02-04,2025,2,February,1,4,Tuesday,False
2025-02-05,2025,2,February,1,5,Wednesday,False
2025-02-06,2025,2,February,1,6,Thursday,False
2025-02-07,2025,2,February,1,7,Friday,False
2025-02-08,2025,2,February,1,8,Saturday,True
2025-02-09,2025,2,February,1,9,Sunday,True
2025-02-10,2025,2,February,1,10,Monday,False
2025-02-11,2025,2,February,1,11,Tuesday,False
2025-02-12,2025,2,February,1,12,Wednesday,False
2025-02-13,2025,2,February,1,13,Thursday,False
2025-02-14,2025,2,February,1,14,Friday,False
2025-02-15,2025,2,February,1,15,Saturday,True
2025-02-16,2025,2,February,1,16,Sunday,True
2025-02-17,2025,2,February,1,17,Monday,False
2025-02-18,2025,2,February,1,18,Tuesday,False
2025-02-19,2025,2,February,1,19,Wednesday,False
2025-02-20,2025,2,February,1,20,Thursday,False
2025-02-21,2025,2,February,1,21,Friday,False
2025-02-22,2025,2,February,1,22,Saturday,True
2025-02-23,2025,2,February,1,23,Sunday,True
2025-02-24,2025,2,February,1,24,Monday,False
2025-02-25,2025,2,February,1,25,Tuesday,False
2025-02-26,2025,2,February,1,26,Wednesday,False
2025-02-27,2025,2,February,1,27,Thursday,False
2025-02-28,2025,2,February,1,28,Friday,False
2025-03-01,2025,3,March,1,1,Saturday,True
2025-03-02,2025,3,March,1,2,Sunday,True
2025-03-03,2025,3,March,1,3,Monday,False
2025-03-04,2025,3,March,1,4,Tuesday,False
2025-03-05,2025,3,March,1,5,Wednesday,False
2025-03-06,2025,3,March,1,6,Thursday,False
2025-03-07,2025,3,March,1,7,Friday,False
2025-03-08,2025,3,March,1,8,Saturday,True
2025-03-09,2025,3,March,1,9,Sunday,True
2025-03-10,2025,3,March,1,10,Monday,False
2025-03-11,2025,3,March,1,11,Tuesday,False
2025-03-12,2025,3,March,1,12,Wednesday,False
2025-03-13,2025,3,March,1,13,Thursday,False
2025-03-14,2025,3,March,1,14,Friday,False
2025-03-15,2025,3,March,1,15,Saturday,True
2025-03-16,2025,3,March,1,16,Sunday,True
2025-03-17,2025,3,March,1,17,Monday,False
2025-03-18,2025,3,March,1,18,Tuesday,False
2025-03-19,2025,3,March,1,19,Wednesday,False
2025-03-20,2025,3,March,1,20,Thursday,False
2025-03-21,2025,3,March,1,21,Friday,False
2025-03-22,2025,3,March,1,22,Saturday,True
2025-03-23,2025,3,March,1,23,Sunday,True
2025-03-24,2025,3,March,1,24,Monday,False
2025-03-25,2025,3,March,1,25,Tuesday,False
2025-03-26,2025,3,March,1,26,Wednesday,False
2025-03-27,2025,3,March,1,27,Thursday,False
2025-03-28,2025,3,March,1,28,Friday,False
2025-03-29,2025,3,March,1,29,Saturday,True
2025-03-30,2025,3,March,1,30,Sunday,True
2025-03-31,2025,3,March,1,31,Monday,False
2025-04-01,2025,4,April,2,1,Tuesday,False
2025-04-02,2025,4,April,2,2,Wednesday,False
2025-04-03,2025,4,April,2,3,Thursday,False
2025-04-04,2025,4,April,2,4,Friday,False
2025-04-05,2025,4,April,2,5,Saturday,True
2025-04-06,2025,4,April,2,6,Sunday,True
2025-04-07,2025,4,April,2,7,Monday,False
2025-04-08,2025,4,April,2,8,Tuesday,False
2025-04-09,2025,4,April,2,9,Wednesday,False
2025-04-10,2025,4,April,2,10,Thursday,False
2025-04-11,2025,4,April,2,11,Friday,False
2025-04-12,2025,4,April,2,12,Saturday,True
2025-04-13,2025,4,April,2,13,Sunday,True
2025-04-14,2025,4,April,2,14,Monday,False
2025-04-15,2025,4,April,2,15,Tuesday,False
2025-04-16,2025,4,April,2,16,Wednesday,False
2025-04-17,2025,4,April,2,17,Thursday,False
2025-04-18,2025,4,April,2,18,Friday,False
2025-04-19,2025,4,April,2,19,Saturday,True
2025-04-20,2025,4,April,2,20,Sunday,True
2025-04-21,2025,4,April,2,21,Monday,False
2025-04-22,2025,4,April,2,22,Tuesday,False
2025-04-23,2025,4,April,2,23,Wednesday,False
2025-04-24,2025,4,April,2,24,Thursday,False
2025-04-25,2025,4,April,2,25,Friday,False
2025-04-26,2025,4,April,2,26,Saturday,True
2025-04-27,2025,4,April,2,27,Sunday,True
2025-04-28,2025,4,April,2,28,Monday,False
2025-04-29,2025,4,April,2,29,Tuesday,False
2025-04-30,2025,4,April,2,30,Wednesday,False
2025-05-01,2025,5,May,2,1,Thursday,False
2025-05-02,2025,5,May,2,2,Friday,False
2025-05-03,2025,5,May,2,3,Saturday,True
2025-05-04,2025,5,May,2,4,Sunday,True
2025-05-05,2025,5,May,2,5,Monday,False
2025-05-06,2025,5,May,2,6,Tuesday,False
2025-05-07,2025,5,May,2,7,Wednesday,False
2025-05-08,2025,5,May,2,8,Thursday,False
2025-05-09,2025,5,May,2,9,Friday,False
2025-05-10,2025,5,May,2,10,Saturday,True
2025-05-11,2025,5,May,2,11,Sunday,True
2025-05-12,2025,5,May,2,12,Monday,False
2025-05-13,2025,5,May,2,13,Tuesday,False
2025-05-14,2025,5,May,2,14,Wednesday,False
2025-05-15,2025,5,May,2,15,Thursday,False
2025-05-16,2025,5,May,2,16,Friday,False
2025-05-17,2025,5,May,2,17,Saturday,True
2025-05-18,2025,5,May,2,18,Sunday,True
2025-05-19,2025,5,May,2,19,Monday,False
2025-05-20,2025,5,May,2,20,Tuesday,False
2025-05-21,2025,5,May,2,21,Wednesday,False
2025-05-22,2025,5,May,2,22,Thursday,False
2025-05-23,2025,5,May,2,23,Friday,False
2025-05-24,2025,5,May,2,24,Saturday,True
2025-05-25,2025,5,May,2,25,Sunday,True
2025-05-26,2025,5,May,2,26,Monday,False
2025-05-27,2025,5,May,2,27,Tuesday,False
2025-05-28,2025,5,May,2,28,Wednesday,False
2025-05-29,2025,5,May,2,29,Thursday,False
2025-05-30,2025,5,May,2,30,Friday,False
2025-05-31,2025,5,May,2,31,Saturday,True
2025-06-01,2025,6,June,2,1,Sunday,True
2025-06-02,2025,6,June,2,2,Monday,False
2025-06-03,2025,6,June,2,3,Tuesday,False
2025-06-04,2025,6,June,2,4,Wednesday,False
2025-06-05,2025,6,June,2,5,Thursday,False
2025-06-06,2025,6,June,2,6,Friday,False
2025-06-07,2025,6,June,2,7,Saturday,True
2025-06-08,2025,6,June,2,8,Sunday,True
2025-06-09,2025,6,June,2,9,Monday,False
2025-06-10,2025,6,June,2,10,Tuesday,False
2025-06-11,2025,6,June,2,11,Wednesday,False
2025-06-12,2025,6,June,2,12,Thursday,False
2025-06-13,2025,6,June,2,13,Friday,False
2025-06-14,2025,6,June,2,14,Saturday,True
2025-06-15,2025,6,June,2,15,Sunday,True
2025-06-16,2025,6,June,2,16,Monday,False
2025-06-17,2025,6,June,2,17,Tuesday,False
2025-06-18,2025,6,June,2,18,Wednesday,False
2025-06-19,2025,6,June,2,19,Thursday,False
2025-06-20,2025,6,June,2,20,Friday,False
2025-06-21,2025,6,June,2,21,Saturday,True
2025-06-22,2025,6,June,2,22,Sunday,True
2025-06-23,2025,6,June,2,23,Monday,False
2025-06-24,2025,6,June,2,24,Tuesday,False
2025-06-25,2025,6,June,2,25,Wednesday,False
2025-06-26,2025,6,June,2,26,Thursday,False
2025-06-27,2025,6,June,2,27,Friday,False
2025-06-28,2025,6,June,2,28,Saturday,True
2025-06-29,2025,6,June,2,29,Sunday,True
2025-06-30,2025,6,June,2,30,Monday,False
2025-07-01,2025,7,July,3,1,Tuesday,False
2025-07-02,2025,7,July,3,2,Wednesday,False
2025-07-03,2025,7,July,3,3,Thursday,False
2025-07-04,2025,7,July,3,4,Friday,False
2025-07-05,2025,7,July,3,5,Saturday,True
2025-07-06,2025,7,July,3,6,Sunday,True
2025-07-07,2025,7,July,3,7,Monday,False
2025-07-08,2025,7,July,3,8,Tuesday,False
2025-07-09,2025,7,July,3,9,Wednesday,False
2025-07-10,2025,7,July,3,10,Thursday,False
